filename,title,date,url,digest
2002-10-26-b5543,A NECESSARY DIVORCE,2002-10-26,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3679/A-NECESSARY-DIVORCE.aspx,b5543c87ce3224a8d1255d494acf7f16c83cacd9
2006-01-21-4a954,YOUNG LIBERAL CONVENTION,2006-01-21,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3598/YOUNG-LIBERAL-CONVENTION.aspx,4a954613165c5fa35c59420002602eb826e1efe6
2011-08-22-505ee,"Second Reading Speech, Carbon Tax Plebiscite Bill, Parliament House",2011-08-22,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8268/Second-Reading-Speech-Carbon-Tax-Plebiscite-Bill-Parliament-House.aspx,505ee5c959f8f6309dc618773f14be69c2f17ed7
2005-03-04-5c378,SPEECH NOTES FOR 2005 AUSTRALIAN PHARMACY PROFESSIONAL CONFERENCE AND TRADE EXHIBITION,2005-03-04,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3664/SPEECH-NOTES-FOR-2005-AUSTRALIAN-PHARMACY-PROFESSIONAL-CONFERENCE-AND-TRADE-EXHIBITION.aspx,5c378be381dd6098df436e518f681a577211a57f
2007-09-03-7ff81,"SPEECH NOTES FOR RICHARD SEARBY ORATION - DEAKIN UNIVERSITY, GEELONG",2007-09-03,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/6456/SPEECH-NOTES-FOR-RICHARD-SEARBY-ORATION--DEAKIN-UNIVERSITY-GEELONG.aspx,7ff811edd7002ad284c361d9ba5a6d90a327971b
2012-02-07-4ae1a,"Remarks to Coalition Joint Party Room Meeting, Parliament House",2012-02-07,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8559/Remarks-to-Coalition-Joint-Party-Room-Meeting-Parliament-House.aspx,4ae1a450cf10b2181190a981d929c2d90adad04d
2012-01-19-27eb7,"Address to Cancer Council Morning Tea, Adelaide",2012-01-19,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8530/Address-to-Cancer-Council-Morning-Tea-Adelaide.aspx,27eb7debccb8ec9d2b388b15dd6bd3562028cd77
2012-02-10-32c97,"Address to 2012 Master Builders Association of Victoria Members Conference, Yarra Valley",2012-02-10,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8564/Address-to-2012-Master-Builders-Association-of-Victoria-Members-Conference-Yarra-Valley.aspx,32c973ebaa3509ed5fd4ea944397e2a728bb393d
2010-11-04-7dd29,"Remarks at the Murray-Darling Basin Authority Forbes Community Information Session, Forbes, New South Wales",2010-11-04,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7709/Remarks-at-the-Murray-Darling-Basin-Authority-Forbes-Community-Information-Session-Forbes-New-South-Wales.aspx,7dd297ebc0cd85d0749a50a3fe54cf0e581d6ead
2002-05-22-ee483,ADDRESS TO INSTITUTE OF PUBLIC ADMINISTRATION AUSTRALIA CANBERRA,2002-05-22,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3708/ADDRESS-TO-INSTITUTE-OF-PUBLIC-ADMINISTRATION-AUSTRALIA-CANBERRA.aspx,ee483f2d9b16ff9d45da369eba5193c8d66409ea
